id, number_of_iterations, initial_pop, final_pop, initial_density, final_density, end_status, elapsed_time
75, 2, 3, 0, 0.500000, 0.000000, empty, 0.000245
76, 3, 4, 6, 0.500000, 0.500000, stable, 0.000229
77, 2, 3, 0, 0.500000, 0.000000, empty, 0.000194
78, 2, 4, 4, 0.500000, 1.000000, stable, 0.000314
79, 4, 4, 6, 0.666667, 0.500000, stable, 0.001066
80, 3, 5, 0, 0.625000, 0.000000, empty, 0.009640
81, 1, 2, 0, 0.250000, 0.000000, empty, 0.025787
82, 1, 3, 0, 0.300000, 0.000000, empty, 0.000238
83, 1, 3, 0, 0.375000, 0.000000, empty, 0.000216
84, 2, 4, 4, 0.400000, 1.000000, stable, 0.000301
85, 1, 3, 0, 0.375000, 0.000000, empty, 0.000198
86, 2, 4, 0, 0.400000, 0.000000, empty, 0.000359
87, 2, 4, 4, 0.500000, 1.000000, stable, 0.000334
88, 11, 5, 12, 0.500000, 0.244898, period_2, 0.000885
89, 1, 3, 0, 0.375000, 0.000000, empty, 0.000199
90, 1, 4, 0, 0.400000, 0.000000, empty, 0.000259
91, 2, 4, 0, 0.500000, 0.000000, empty, 0.000302
92, 3, 5, 6, 0.500000, 0.500000, stable, 0.000333
93, 5, 4, 0, 0.500000, 0.000000, empty, 0.000493
94, 8, 5, 0, 0.500000, 0.000000, empty, 0.000463
95, 11, 5, 12, 0.625000, 0.244898, period_2, 0.000594
96, 5, 6, 4, 0.600000, 1.000000, stable, 0.000528
97, 1, 2, 0, 1.000000, 0.000000, empty, 0.000395
98, 2, 3, 4, 0.750000, 1.000000, stable, 0.000308
99, 2, 3, 4, 0.750000, 1.000000, stable, 0.000309
100, 1, 4, 4, 1.000000, 1.000000, stable, 0.000400
101, 2, 3, 0, 0.500000, 0.000000, empty, 0.000229
102, 3, 4, 4, 0.666667, 1.000000, stable, 0.000365
103, 3, 4, 6, 0.666667, 0.500000, stable, 0.000285
104, 4, 5, 0, 0.833333, 0.000000, empty, 0.000260
105, 1, 3, 0, 0.375000, 0.000000, empty, 0.000210
106, 2, 4, 4, 0.500000, 1.000000, stable, 0.000283
107, 3, 4, 6, 0.500000, 0.500000, stable, 0.000313
108, 3, 5, 6, 0.625000, 0.500000, stable, 0.000356
109, 2, 4, 4, 0.500000, 1.000000, stable, 0.000271
110, 5, 5, 0, 0.625000, 0.000000, empty, 0.000403
111, 5, 5, 0, 0.625000, 0.000000, empty, 0.000527
112, 3, 6, 5, 0.750000, 0.555556, stable, 0.000368
113, 1, 3, 0, 0.300000, 0.000000, empty, 0.000230
114, 2, 4, 4, 0.400000, 1.000000, stable, 0.000291
115, 2, 4, 4, 0.400000, 1.000000, stable, 0.000394
116, 2, 5, 4, 0.500000, 1.000000, stable, 0.000219
117, 2, 4, 0, 0.400000, 0.000000, empty, 0.000212
118, 3, 5, 4, 0.500000, 1.000000, stable, 0.000729
119, 3, 5, 6, 0.500000, 0.500000, stable, 0.000423
120, 4, 6, 0, 0.600000, 0.000000, empty, 0.000363
121, 1, 4, 0, 0.400000, 0.000000, empty, 0.000273
122, 2, 5, 4, 0.500000, 1.000000, stable, 0.000227
123, 3, 5, 6, 0.500000, 0.500000, stable, 0.000349
124, 3, 6, 6, 0.600000, 0.500000, stable, 0.000269
125, 8, 5, 0, 0.500000, 0.000000, empty, 0.000479
126, 2500, 6, 33, 0.600000, 0.000827, timeout, 0.111818
127, 4, 6, 0, 0.600000, 0.000000, empty, 0.000416
128, 18, 7, 24, 0.700000, 0.142012, stable, 0.000693
129, 1, 1, 0, 1.000000, 0.000000, empty, 0.000196
130, 1, 2, 0, 0.333333, 0.000000, empty, 0.000219
131, 1, 2, 0, 0.500000, 0.000000, empty, 0.000353
132, 2, 3, 0, 0.500000, 0.000000, empty, 0.000295
133, 1, 2, 0, 1.000000, 0.000000, empty, 0.000244
134, 2, 3, 0, 0.500000, 0.000000, empty, 0.000219
135, 2, 3, 4, 0.750000, 1.000000, stable, 0.000287
136, 4, 4, 6, 0.666667, 0.500000, stable, 0.000413
137, 1, 2, 0, 0.500000, 0.000000, empty, 0.006991
138, 1, 3, 0, 0.375000, 0.000000, empty, 0.000179
139, 2, 3, 0, 0.500000, 0.000000, empty, 0.000471
140, 2, 4, 4, 0.500000, 1.000000, stable, 0.000220
141, 2, 3, 4, 0.750000, 1.000000, stable, 0.000268
142, 3, 4, 6, 0.500000, 0.500000, stable, 0.000329
143, 11, 4, 12, 0.666667, 0.244898, period_2, 0.000554
144, 3, 5, 0, 0.625000, 0.000000, empty, 0.000377
145, 1, 2, 0, 0.333333, 0.000000, empty, 0.000316
146, 1, 3, 0, 0.300000, 0.000000, empty, 0.000315
147, 1, 3, 0, 0.375000, 0.000000, empty, 0.000256
148, 2, 4, 0, 0.400000, 0.000000, empty, 0.000300
149, 2, 3, 0, 0.500000, 0.000000, empty, 0.000306
150, 2, 4, 0, 0.400000, 0.000000, empty, 0.000191
151, 3, 4, 6, 0.500000, 0.500000, stable, 0.000265
152, 5, 5, 0, 0.500000, 0.000000, empty, 0.000282
153, 2, 3, 0, 0.500000, 0.000000, empty, 0.000258
154, 2, 4, 0, 0.400000, 0.000000, empty, 0.000306
155, 2, 4, 4, 0.500000, 1.000000, stable, 0.000229
156, 3, 5, 6, 0.500000, 0.500000, stable, 0.000279
157, 4, 4, 6, 0.666667, 0.500000, stable, 0.000410
158, 5, 5, 0, 0.500000, 0.000000, empty, 0.000326
159, 3, 5, 0, 0.625000, 0.000000, empty, 0.000277
160, 11, 6, 12, 0.600000, 0.244898, period_2, 0.000491
161, 1, 2, 0, 0.666667, 0.000000, empty, 0.000320
162, 2, 3, 0, 0.500000, 0.000000, empty, 0.000247
163, 2, 3, 0, 0.500000, 0.000000, empty, 0.000278
164, 3, 4, 4, 0.666667, 1.000000, stable, 0.000287
165, 2, 3, 0, 0.500000, 0.000000, empty, 0.000510
166, 1, 4, 0, 0.666667, 0.000000, empty, 0.000186
167, 3, 4, 4, 0.666667, 1.000000, stable, 0.000296
168, 4, 5, 0, 0.833333, 0.000000, empty, 0.000288
169, 1, 3, 0, 0.375000, 0.000000, empty, 0.000187
170, 2, 4, 0, 0.500000, 0.000000, empty, 0.000326
171, 2, 4, 4, 0.500000, 1.000000, stable, 0.000355
172, 5, 5, 0, 0.625000, 0.000000, empty, 0.000325
173, 3, 4, 6, 0.500000, 0.500000, stable, 0.000354
174, 2, 5, 4, 0.625000, 1.000000, stable, 0.001842
175, 5, 5, 8, 0.625000, 0.500000, stable, 0.000381
176, 5, 6, 4, 0.750000, 1.000000, stable, 0.000524
177, 1, 3, 0, 0.300000, 0.000000, empty, 0.000330
178, 2, 4, 0, 0.400000, 0.000000, empty, 0.000284
179, 2, 4, 0, 0.400000, 0.000000, empty, 0.000246
180, 3, 5, 4, 0.500000, 1.000000, stable, 0.000264
181, 2, 4, 0, 0.400000, 0.000000, empty, 0.000246
182, 2, 5, 0, 0.500000, 0.000000, empty, 0.000256
183, 5, 5, 0, 0.500000, 0.000000, empty, 0.000308
184, 5, 6, 5, 0.600000, 0.555556, stable, 0.000359
185, 2, 4, 0, 0.400000, 0.000000, empty, 0.000239
186, 2, 5, 0, 0.500000, 0.000000, empty, 0.000301
187, 3, 5, 6, 0.500000, 0.500000, stable, 0.000297
188, 5, 6, 4, 0.600000, 1.000000, stable, 0.000320
189, 5, 5, 0, 0.500000, 0.000000, empty, 0.000363
190, 4, 6, 6, 0.600000, 0.500000, stable, 0.000339
191, 5, 6, 8, 0.600000, 0.500000, stable, 0.000437
192, 7, 7, 5, 0.700000, 0.555556, , 0.000387
193, 1, 2, 0, 1.000000, 0.000000, empty, 0.000165
194, 2, 3, 0, 0.500000, 0.000000, empty, 0.002088
195, 2, 3, 4, 0.750000, 1.000000, stable, 0.032113
196, 3, 4, 6, 0.666667, 0.500000, stable, 0.010134
197, 2, 3, 4, 0.750000, 1.000000, stable, 0.000190
198, 3, 4, 4, 0.666667, 1.000000, stable, 0.000313
199, 1, 4, 4, 1.000000, 1.000000, stable, 0.000252
200, 4, 5, 0, 0.833333, 0.000000, empty, 0.000393
201, 2, 3, 0, 0.500000, 0.000000, empty, 0.000418
202, 2, 4, 4, 0.500000, 1.000000, stable, 0.000329
203, 3, 4, 4, 0.666667, 1.000000, stable, 0.000342
204, 5, 5, 0, 0.625000, 0.000000, empty, 0.000485
205, 3, 4, 6, 0.666667, 0.500000, stable, 0.000519
206, 5, 5, 0, 0.625000, 0.000000, empty, 0.000366
207, 4, 5, 0, 0.833333, 0.000000, empty, 0.000375
208, 4, 6, 4, 0.750000, 1.000000, stable, 0.000287
209, 1, 3, 0, 0.375000, 0.000000, empty, 0.000361
210, 2, 4, 0, 0.400000, 0.000000, empty, 0.000425
211, 2, 4, 4, 0.500000, 1.000000, stable, 0.000396
212, 3, 5, 6, 0.500000, 0.500000, stable, 0.000316
213, 3, 4, 6, 0.500000, 0.500000, stable, 0.000386
214, 5, 5, 0, 0.500000, 0.000000, empty, 0.000449
215, 3, 5, 6, 0.625000, 0.500000, stable, 0.000347
216, 5, 6, 5, 0.600000, 0.555556, stable, 0.000351
217, 2, 4, 4, 0.500000, 1.000000, stable, 0.000284
218, 3, 5, 6, 0.500000, 0.500000, stable, 0.000310
219, 5, 5, 0, 0.625000, 0.000000, empty, 0.000329
220, 5, 6, 4, 0.600000, 1.000000, stable, 0.006064
221, 5, 5, 0, 0.625000, 0.000000, empty, 0.000386
222, 4, 6, 7, 0.600000, 0.437500, stable, 0.000725
223, 3, 6, 5, 0.750000, 0.555556, stable, 0.000334
224, 178, 7, 55, 0.700000, 0.037749, period_2, 0.007287
225, 2, 3, 3, 1.000000, 1.000000, period_2, 0.000286
226, 4, 4, 6, 0.666667, 0.500000, stable, 0.000380
227, 11, 4, 12, 0.666667, 0.244898, period_2, 0.000618
228, 4, 5, 0, 0.833333, 0.000000, empty, 0.000485
229, 4, 4, 6, 0.666667, 0.500000, stable, 0.000382
230, 4, 5, 0, 0.833333, 0.000000, empty, 0.000256
231, 4, 5, 0, 0.833333, 0.000000, empty, 0.000519
232, 2, 6, 6, 1.000000, 0.500000, stable, 0.000395
233, 5, 4, 0, 0.500000, 0.000000, empty, 0.000393
234, 178, 5, 55, 0.625000, 0.040741, period_2, 0.007685
235, 5, 5, 8, 0.625000, 0.500000, stable, 0.000310
236, 4, 6, 0, 0.750000, 0.000000, empty, 0.000329
237, 5, 5, 0, 0.625000, 0.000000, empty, 0.000286
238, 5, 6, 5, 0.750000, 0.555556, stable, 0.000271
239, 2, 6, 6, 0.750000, 0.750000, period_2, 0.000555
240, 20, 7, 24, 0.875000, 0.142012, stable, 0.000831
241, 4, 4, 3, 0.400000, 1.000000, period_2, 0.000328
242, 4, 5, 6, 0.500000, 0.500000, stable, 0.000311
243, 11, 5, 12, 0.500000, 0.244898, period_2, 0.000543
244, 4, 6, 0, 0.600000, 0.000000, empty, 0.000292
245, 5, 5, 0, 0.500000, 0.000000, empty, 0.000341
246, 5, 6, 5, 0.600000, 0.555556, stable, 0.000451
247, 5, 6, 5, 0.600000, 0.555556, stable, 0.000472
248, 3, 7, 8, 0.700000, 0.500000, stable, 0.000407
249, 8, 5, 0, 0.500000, 0.000000, empty, 0.000336
250, 8, 6, 0, 0.600000, 0.000000, empty, 0.000422
251, 5, 6, 3, 0.600000, 1.000000, period_2, 0.000404
252, 13, 7, 3, 0.700000, 1.000000, period_2, 0.000731
253, 65, 6, 16, 0.600000, 0.069565, stable, 0.002743
254, 16, 7, 3, 0.700000, 1.000000, period_2, 0.000630
255, 7, 7, 4, 0.700000, 1.000000, stable, 0.000476
256, 105, 8, 15, 0.800000, 0.059524, period_2, 0.003414
257, 1, 1, 0, 1.000000, 0.000000, empty, 0.000359
258, 1, 2, 0, 0.250000, 0.000000, empty, 0.035134
259, 1, 2, 0, 0.333333, 0.000000, empty, 0.044996
260, 1, 3, 0, 0.375000, 0.000000, empty, 0.000367
261, 1, 2, 0, 0.500000, 0.000000, empty, 0.002135
262, 1, 3, 0, 0.375000, 0.000000, empty, 0.000256
263, 2, 3, 0, 0.500000, 0.000000, empty, 0.117612
264, 5, 4, 0, 0.500000, 0.000000, empty, 0.024239
265, 1, 2, 0, 1.000000, 0.000000, empty, 0.015370
266, 1, 3, 0, 0.375000, 0.000000, empty, 0.000229
267, 2, 3, 0, 0.500000, 0.000000, empty, 0.000356
268, 2, 4, 0, 0.500000, 0.000000, empty, 0.038837
269, 2, 3, 4, 0.750000, 1.000000, stable, 0.016186
270, 2, 4, 4, 0.500000, 1.000000, stable, 0.000225
271, 4, 4, 6, 0.666667, 0.500000, stable, 0.000388
272, 11, 5, 12, 0.625000, 0.244898, period_2, 0.038153
273, 1, 2, 0, 0.500000, 0.000000, empty, 0.102396
274, 1, 3, 0, 0.300000, 0.000000, empty, 0.034912
275, 1, 3, 0, 0.375000, 0.000000, empty, 0.018028
276, 1, 4, 0, 0.400000, 0.000000, empty, 0.032587
277, 2, 3, 0, 0.500000, 0.000000, empty, 0.033509
278, 2, 4, 0, 0.400000, 0.000000, empty, 0.000355
279, 2, 4, 4, 0.500000, 1.000000, stable, 0.110635
280, 8, 5, 0, 0.500000, 0.000000, empty, 0.010302
281, 2, 3, 4, 0.750000, 1.000000, stable, 0.020166
282, 2, 4, 4, 0.400000, 1.000000, stable, 0.000568
283, 3, 4, 6, 0.500000, 0.500000, stable, 0.000276
284, 3, 5, 6, 0.500000, 0.500000, stable, 0.000515
285, 11, 4, 12, 0.666667, 0.244898, period_2, 0.000650
286, 11, 5, 12, 0.500000, 0.244898, period_2, 0.000683
287, 3, 5, 0, 0.625000, 0.000000, empty, 0.000337
288, 5, 6, 4, 0.600000, 1.000000, stable, 0.000527
289, 1, 2, 0, 0.500000, 0.000000, empty, 0.000231
290, 1, 3, 0, 0.375000, 0.000000, empty, 0.000248
291, 1, 3, 0, 0.375000, 0.000000, empty, 0.000319
292, 2, 4, 4, 0.500000, 1.000000, stable, 0.000610
293, 1, 3, 0, 0.375000, 0.000000, empty, 0.000429
294, 2, 4, 0, 0.500000, 0.000000, empty, 0.000361
295, 2, 4, 4, 0.500000, 1.000000, stable, 0.000229
296, 177, 5, 55, 0.625000, 0.037749, period_2, 0.007229
297, 1, 3, 0, 0.375000, 0.000000, empty, 0.000234
298, 1, 4, 0, 0.500000, 0.000000, empty, 0.000273
299, 2, 4, 0, 0.500000, 0.000000, empty, 0.000470
300, 3, 5, 6, 0.625000, 0.500000, stable, 0.000316
301, 2, 4, 4, 0.500000, 1.000000, stable, 0.000279
302, 3, 5, 6, 0.625000, 0.500000, stable, 0.000349
303, 177, 5, 55, 0.625000, 0.037749, period_2, 0.008466
304, 15, 6, 0, 0.750000, 0.000000, empty, 0.000656
305, 1, 3, 0, 0.300000, 0.000000, empty, 0.000240
306, 1, 4, 0, 0.400000, 0.000000, empty, 0.000453
307, 1, 4, 0, 0.400000, 0.000000, empty, 0.000320
308, 2, 5, 4, 0.500000, 1.000000, stable, 0.000562
309, 2, 4, 0, 0.400000, 0.000000, empty, 0.000478
310, 2, 5, 0, 0.500000, 0.000000, empty, 0.000341
311, 3, 5, 6, 0.500000, 0.500000, stable, 0.000363
312, 8, 6, 0, 0.600000, 0.000000, empty, 0.000475
313, 2, 4, 4, 0.400000, 1.000000, stable, 0.000281
314, 2, 5, 4, 0.500000, 1.000000, stable, 0.000427
315, 3, 5, 6, 0.500000, 0.500000, stable, 0.000395
316, 11, 6, 0, 0.600000, 0.000000, empty, 0.000479
317, 11, 5, 12, 0.500000, 0.244898, period_2, 0.000475
318, 17, 6, 0, 0.600000, 0.000000, empty, 0.000617
319, 5, 6, 3, 0.600000, 1.000000, period_2, 0.000345
320, 7, 7, 6, 0.700000, 0.500000, stable, 0.000374
321, 1, 2, 0, 0.666667, 0.000000, empty, 0.000278
322, 1, 3, 0, 0.375000, 0.000000, empty, 0.000478
323, 2, 3, 0, 0.500000, 0.000000, empty, 0.000375
324, 3, 4, 6, 0.500000, 0.500000, stable, 0.000338
325, 2, 3, 0, 0.500000, 0.000000, empty, 0.000249
326, 2, 4, 4, 0.500000, 1.000000, stable, 0.000257
327, 3, 4, 4, 0.666667, 1.000000, stable, 0.000355
328, 5, 5, 8, 0.625000, 0.500000, stable, 0.000580
329, 2, 3, 0, 0.500000, 0.000000, empty, 0.000761
330, 2, 4, 0, 0.500000, 0.000000, empty, 0.000263
331, 1, 4, 0, 0.666667, 0.000000, empty, 0.000176
332, 2, 5, 4, 0.625000, 1.000000, stable, 0.000347
333, 3, 4, 4, 0.666667, 1.000000, stable, 0.000278
334, 5, 5, 0, 0.625000, 0.000000, empty, 0.000450
335, 4, 5, 0, 0.833333, 0.000000, empty, 0.000269
336, 5, 6, 4, 0.750000, 1.000000, stable, 0.000450
337, 1, 3, 0, 0.375000, 0.000000, empty, 0.000223
338, 1, 4, 0, 0.400000, 0.000000, empty, 0.000232
339, 2, 4, 0, 0.500000, 0.000000, empty, 0.000325
340, 3, 5, 6, 0.500000, 0.500000, stable, 0.000455
341, 2, 4, 4, 0.500000, 1.000000, stable, 0.000306
342, 3, 5, 6, 0.500000, 0.500000, stable, 0.000416
343, 5, 5, 0, 0.625000, 0.000000, empty, 0.000296
344, 5, 6, 3, 0.600000, 1.000000, period_2, 0.000397
345, 3, 4, 6, 0.500000, 0.500000, stable, 0.000403
346, 3, 5, 6, 0.500000, 0.500000, stable, 0.000351
347, 2, 5, 4, 0.625000, 1.000000, stable, 0.000324
348, 2, 6, 8, 0.600000, 0.800000, stable, 0.000241
349, 5, 5, 8, 0.625000, 0.500000, stable, 0.000354
350, 5, 6, 3, 0.600000, 1.000000, period_2, 0.000319
351, 5, 6, 4, 0.750000, 1.000000, stable, 0.000329
352, 5, 7, 6, 0.700000, 0.500000, stable, 0.000365
353, 1, 3, 0, 0.750000, 0.000000, empty, 0.000178
354, 2, 4, 4, 0.500000, 1.000000, stable, 0.000232
355, 3, 4, 6, 0.500000, 0.500000, stable, 0.000293
356, 3, 5, 6, 0.625000, 0.500000, stable, 0.000327
357, 2, 4, 4, 0.500000, 1.000000, stable, 0.000703
358, 5, 5, 0, 0.625000, 0.000000, empty, 0.000414
359, 5, 5, 0, 0.625000, 0.000000, empty, 0.000362
360, 4, 6, 0, 0.750000, 0.000000, empty, 0.000395
361, 2, 4, 0, 0.500000, 0.000000, empty, 0.000371
362, 3, 5, 6, 0.625000, 0.500000, stable, 0.000367
363, 2, 5, 4, 0.625000, 1.000000, stable, 0.000378
364, 2, 6, 4, 0.750000, 1.000000, stable, 0.000305
365, 5, 5, 0, 0.625000, 0.000000, empty, 0.000303
366, 1, 6, 6, 0.750000, 0.750000, stable, 0.000322
367, 5, 6, 5, 0.750000, 0.555556, stable, 0.000396
368, 4, 7, 4, 0.875000, 1.000000, stable, 0.000348
369, 1, 4, 0, 0.400000, 0.000000, empty, 0.000246
370, 2, 5, 4, 0.500000, 1.000000, stable, 0.000296
371, 3, 5, 6, 0.500000, 0.500000, stable, 0.000363
372, 3, 6, 6, 0.600000, 0.500000, stable, 0.001973
373, 3, 5, 6, 0.500000, 0.500000, stable, 0.000398
374, 5, 6, 4, 0.600000, 1.000000, stable, 0.000347
375, 5, 6, 4, 0.600000, 1.000000, stable, 0.000441
376, 13, 7, 3, 0.700000, 1.000000, period_2, 0.000608
377, 3, 5, 6, 0.500000, 0.500000, stable, 0.000378
378, 11, 6, 0, 0.600000, 0.000000, empty, 0.000642
379, 2, 6, 8, 0.600000, 0.800000, stable, 0.000267
380, 2, 7, 8, 0.700000, 0.800000, stable, 0.000481
381, 5, 6, 3, 0.600000, 1.000000, period_2, 0.000404
382, 52, 7, 19, 0.700000, 0.113095, stable, 0.001892
383, 7, 7, 6, 0.700000, 0.500000, stable, 0.000444
384, 7, 8, 0, 0.800000, 0.000000, empty, 0.000351
385, 1, 2, 0, 1.000000, 0.000000, empty, 0.000228
386, 1, 3, 0, 0.375000, 0.000000, empty, 0.000265
387, 2, 3, 0, 0.500000, 0.000000, empty, 0.000272
388, 2, 4, 4, 0.500000, 1.000000, stable, 0.000315
389, 2, 3, 4, 0.750000, 1.000000, stable, 0.000280
390, 3, 4, 6, 0.500000, 0.500000, stable, 0.000380
391, 3, 4, 6, 0.666667, 0.500000, stable, 0.000284
392, 5, 5, 0, 0.625000, 0.000000, empty, 0.000379
393, 2, 3, 4, 0.750000, 1.000000, stable, 0.000427
394, 2, 4, 4, 0.500000, 1.000000, stable, 0.000320
395, 3, 4, 4, 0.666667, 1.000000, stable, 0.000386
396, 5, 5, 0, 0.625000, 0.000000, empty, 0.000400
397, 1, 4, 4, 1.000000, 1.000000, stable, 0.000597
398, 3, 5, 6, 0.625000, 0.500000, stable, 0.000377
399, 4, 5, 0, 0.833333, 0.000000, empty, 0.000415
400, 3, 6, 5, 0.750000, 0.555556, stable, 0.000272
401, 2, 3, 0, 0.500000, 0.000000, empty, 0.000310
402, 2, 4, 0, 0.400000, 0.000000, empty, 0.000339
403, 2, 4, 4, 0.500000, 1.000000, stable, 0.000270
404, 3, 5, 6, 0.500000, 0.500000, stable, 0.000334
405, 3, 4, 4, 0.666667, 1.000000, stable, 0.000258
406, 5, 5, 0, 0.500000, 0.000000, empty, 0.000344
407, 5, 5, 0, 0.625000, 0.000000, empty, 0.000358
408, 4, 6, 7, 0.600000, 0.437500, stable, 0.000295
409, 3, 4, 6, 0.666667, 0.500000, stable, 0.000601
410, 3, 5, 6, 0.500000, 0.500000, stable, 0.000563
411, 5, 5, 0, 0.625000, 0.000000, empty, 0.000303
412, 5, 6, 4, 0.600000, 1.000000, stable, 0.000391
413, 4, 5, 0, 0.833333, 0.000000, empty, 0.000275
414, 5, 6, 5, 0.600000, 0.555556, stable, 0.000390
415, 4, 6, 4, 0.750000, 1.000000, stable, 0.000319
416, 178, 7, 55, 0.700000, 0.037749, period_2, 0.008911
417, 1, 3, 0, 0.750000, 0.000000, empty, 0.000174
418, 2, 4, 0, 0.500000, 0.000000, empty, 0.000264
419, 2, 4, 4, 0.500000, 1.000000, stable, 0.000232
420, 5, 5, 0, 0.625000, 0.000000, empty, 0.000328
421, 3, 4, 6, 0.500000, 0.500000, stable, 0.000363
422, 2, 5, 4, 0.625000, 1.000000, stable, 0.000317
423, 5, 5, 0, 0.625000, 0.000000, empty, 0.000293
424, 5, 6, 5, 0.750000, 0.555556, stable, 0.000386
425, 2, 4, 4, 0.500000, 1.000000, stable, 0.000251
426, 3, 5, 6, 0.625000, 0.500000, stable, 0.000316
427, 5, 5, 0, 0.625000, 0.000000, empty, 0.000291
428, 1, 6, 6, 0.750000, 0.750000, stable, 0.000320
429, 3, 5, 6, 0.625000, 0.500000, stable, 0.000272
430, 2, 6, 4, 0.750000, 1.000000, stable, 0.000232
431, 4, 6, 0, 0.750000, 0.000000, empty, 0.000371
432, 4, 7, 4, 0.875000, 1.000000, stable, 0.000450
433, 2, 4, 0, 0.400000, 0.000000, empty, 0.000219
