time,x,y,z
2.695,-0.04,0.15,1.04
2.722,-0.04,0.16,1.06
2.722,-0.05,0.16,1.06
2.726,-0.07,0.16,1.05
2.736,-0.06,0.16,1.05
2.759,-0.06,0.16,1.03
2.760,-0.05,0.16,1.06
2.773,-0.05,0.16,1.04
2.776,-0.05,0.17,1.04
2.787,-0.04,0.17,1.05
2.802,-0.06,0.18,1.04
2.806,-0.05,0.17,1.04
2.816,-0.05,0.18,1.03
2.826,-0.04,0.18,1.04
2.851,-0.04,0.18,1.04
2.852,-0.04,0.18,1.03
2.856,-0.04,0.18,1.04
2.866,-0.04,0.17,1.05
2.876,-0.04,0.18,1.04
2.892,-0.05,0.18,1.04
2.896,-0.05,0.18,1.03
2.906,-0.04,0.18,1.04
2.919,-0.04,0.16,1.04
2.926,-0.02,0.16,1.05
2.936,-0.03,0.16,1.04
2.946,-0.02,0.17,1.04
2.978,-0.03,0.17,1.03
2.979,-0.02,0.16,1.05
2.980,-0.02,0.17,1.04
2.986,-0.03,0.16,1.06
2.998,-0.02,0.16,1.05
3.006,-0.03,0.16,1.06
3.020,-0.03,0.16,1.06
3.030,-0.04,0.15,1.06
3.036,-0.04,0.15,1.06
3.048,-0.04,0.14,1.05
3.057,-0.04,0.13,1.04
3.066,-0.04,0.12,1.06
3.076,-0.03,0.15,1.04
3.089,-0.03,0.16,1.04
3.098,-0.04,0.16,1.05
3.107,-0.04,0.17,1.05
3.117,-0.02,0.17,1.04
3.126,-0.02,0.17,1.03
3.139,-0.02,0.17,1.03
3.169,-0.03,0.15,1.04
3.169,-0.02,0.16,1.03
3.170,-0.02,0.16,1.02
3.176,-0.02,0.14,1.03
3.187,-0.02,0.16,1.03
3.204,-0.02,0.19,1.04
3.205,-0.00,0.18,1.02
3.221,-0.01,0.20,1.02
3.232,-0.02,0.19,1.01
3.237,-0.02,0.19,1.01
3.250,-0.02,0.18,1.01
3.256,-0.03,0.18,1.01
3.282,-0.04,0.17,1.04
3.283,-0.05,0.16,1.03
3.286,-0.05,0.18,1.05
3.296,-0.04,0.16,1.03
3.307,-0.04,0.16,1.05
3.321,-0.05,0.16,1.04
3.326,-0.04,0.16,1.04
3.337,-0.05,0.16,1.04
3.347,-0.04,0.17,1.03
3.372,-0.03,0.19,1.04
3.372,-0.03,0.18,1.02
3.376,-0.03,0.18,1.03
3.387,-0.02,0.19,1.04
3.397,-0.04,0.18,1.03
3.406,-0.04,0.17,1.02
3.417,-0.05,0.17,1.04
3.426,-0.06,0.17,1.04
3.437,-0.06,0.17,1.03
3.456,-0.06,0.18,1.03
3.457,-0.04,0.18,1.04
3.474,-0.04,0.19,1.02
3.476,-0.03,0.19,1.03
3.487,-0.03,0.20,1.04
3.517,-0.03,0.19,1.05
3.518,-0.04,0.19,1.04
3.519,-0.04,0.19,1.04
3.526,-0.03,0.18,1.03
3.537,-0.04,0.16,1.02
3.546,-0.04,0.16,1.04
3.562,-0.02,0.16,1.04
3.566,-0.03,0.17,1.03
3.576,-0.04,0.17,1.03
3.586,-0.02,0.18,1.02
3.597,-0.02,0.18,1.03
3.607,-0.02,0.19,1.04
3.621,-0.01,0.18,1.04
3.626,-0.01,0.18,1.04
3.637,-0.02,0.18,1.04
3.653,-0.03,0.17,1.03
3.656,-0.03,0.17,1.06
3.689,-0.05,0.17,1.05
3.690,-0.04,0.17,1.04
3.690,-0.04,0.17,1.05
3.735,-0.04,0.18,1.05
3.735,-0.04,0.18,1.04
3.736,-0.03,0.19,1.05
3.736,-0.02,0.18,1.03
3.748,-0.02,0.17,1.04
3.756,-0.02,0.17,1.03
3.773,-0.02,0.18,1.03
3.777,-0.02,0.19,1.05
3.801,-0.03,0.18,1.04
3.802,-0.02,0.19,1.04
3.806,-0.03,0.18,1.04
3.819,-0.04,0.18,1.04
3.826,-0.04,0.19,1.03
3.836,-0.04,0.18,1.04
3.846,-0.03,0.17,1.04
3.856,-0.02,0.18,1.04
3.879,-0.02,0.17,1.03
3.880,-0.02,0.17,1.04
3.886,-0.02,0.18,1.03
3.899,-0.02,0.18,1.04
3.906,-0.02,0.18,1.03
3.917,-0.03,0.18,1.03
3.926,-0.03,0.18,1.04
3.937,-0.03,0.18,1.04
3.949,-0.04,0.18,1.04
3.956,-0.04,0.19,1.04
3.966,-0.02,0.17,1.04
3.976,-0.01,0.17,1.03
3.992,-0.01,0.17,1.02
4.002,-0.01,0.18,1.04
4.012,-0.02,0.18,1.04
4.016,-0.02,0.17,1.02
4.025,-0.04,0.18,1.04
4.037,-0.04,0.18,1.04
4.052,-0.04,0.17,1.04
4.056,-0.03,0.17,1.04
4.067,-0.04,0.16,1.04
4.076,-0.04,0.17,1.03
4.098,-0.04,0.18,1.04
4.099,-0.04,0.18,1.04
4.106,-0.03,0.18,1.04
4.117,-0.04,0.18,1.02
4.126,-0.04,0.17,1.04
4.137,-0.02,0.19,1.01
4.147,-0.02,0.18,1.04
4.156,-0.03,0.18,1.03
4.184,-0.03,0.16,1.03
4.184,-0.03,0.18,1.02
4.185,-0.04,0.17,1.02
4.197,-0.04,0.18,1.04
4.207,-0.03,0.18,1.03
4.217,-0.04,0.17,1.03
4.226,-0.04,0.18,1.02
4.237,-0.04,0.16,1.04
4.246,-0.03,0.18,1.04
4.256,-0.04,0.18,1.03
4.281,-0.03,0.17,1.02
4.282,-0.03,0.18,1.04
4.286,-0.04,0.18,1.06
4.303,-0.03,0.18,1.04
4.306,-0.04,0.19,1.04
4.317,-0.04,0.21,1.06
4.326,-0.05,0.21,1.02
4.337,-0.05,0.20,1.05
4.352,-0.05,0.20,1.02
4.356,-0.02,0.18,1.03
4.366,-0.02,0.20,1.02
4.376,-0.01,0.17,1.05
4.400,-0.02,0.20,1.04
4.401,-0.01,0.18,1.05
4.406,-0.03,0.18,1.04
4.418,-0.02,0.19,1.05
4.426,-0.04,0.19,1.03
4.437,-0.04,0.20,1.03
4.446,-0.02,0.19,1.03
4.456,-0.02,0.19,1.02
4.477,-0.01,0.20,1.03
4.478,-0.01,0.19,1.02
4.498,-0.01,0.19,1.04
4.499,-0.02,0.20,1.03
4.531,-0.02,0.19,1.03
4.532,-0.02,0.18,1.03
4.533,-0.03,0.18,1.04
4.542,-0.04,0.18,1.03
4.547,-0.04,0.18,1.04
4.556,-0.02,0.19,1.04
4.584,-0.01,0.20,1.02
4.585,-0.01,0.20,1.03
4.585,0.01,0.20,1.02
4.596,0.00,0.20,1.03
4.606,-0.00,0.19,1.04
4.620,-0.00,0.19,1.04
4.626,-0.00,0.17,1.03
4.637,0.00,0.17,1.06
4.646,-0.00,0.16,1.04
4.656,-0.01,0.17,1.05
4.677,-0.02,0.17,1.05
4.678,-0.01,0.16,1.07
4.701,-0.02,0.17,1.06
4.701,-0.02,0.16,1.07
4.708,-0.02,0.17,1.07
4.731,-0.02,0.16,1.06
4.732,-0.02,0.17,1.07
4.736,-0.01,0.17,1.05
4.746,-0.00,0.18,1.04
4.756,0.01,0.18,1.03
4.775,-0.00,0.18,1.04
4.776,-0.00,0.18,1.03
4.786,-0.02,0.18,1.05
4.796,-0.02,0.19,1.04
4.806,-0.02,0.19,1.04
4.820,-0.03,0.17,1.03
4.826,-0.01,0.16,1.04
4.837,-0.02,0.15,1.03
4.846,-0.01,0.14,1.04
4.856,-0.00,0.16,1.03
4.884,-0.01,0.15,1.03
4.885,-0.01,0.16,1.04
4.886,-0.00,0.17,1.03
4.904,-0.02,0.18,1.04
4.906,-0.01,0.18,1.03
4.917,-0.02,0.19,1.04
4.926,-0.01,0.18,1.02
4.937,-0.00,0.18,1.02
4.953,-0.00,0.18,1.03
4.956,0.01,0.18,1.01
4.967,0.01,0.17,1.02
4.976,0.00,0.16,1.02
4.997,0.01,0.18,1.02
4.998,-0.00,0.18,1.01
5.006,-0.00,0.19,1.02
5.021,-0.00,0.21,1.02
5.037,-0.01,0.21,1.03
5.038,0.01,0.21,1.03
5.054,-0.00,0.20,1.04
5.055,-0.01,0.18,1.04
5.071,-0.00,0.18,1.04
5.076,0.00,0.16,1.04
5.093,-0.00,0.16,1.05
5.101,-0.02,0.16,1.06
5.106,-0.00,0.18,1.05
5.116,-0.01,0.18,1.07
5.126,-0.01,0.19,1.04
5.136,-0.02,0.20,1.06
5.149,-0.03,0.20,1.06
5.156,-0.02,0.22,1.04
5.170,-0.02,0.22,1.04
5.176,-0.02,0.20,1.04
5.189,-0.01,0.21,1.04
5.198,-0.00,0.20,1.03
5.209,-0.00,0.18,1.04
5.223,-0.01,0.17,1.04
5.226,-0.01,0.17,1.04
5.238,-0.02,0.18,1.04
5.253,-0.02,0.18,1.04
5.256,-0.01,0.19,1.03
5.268,-0.01,0.20,1.04
5.276,-0.02,0.21,1.03
5.304,-0.01,0.20,1.03
5.305,-0.02,0.20,1.03
5.305,-0.01,0.20,1.04
5.316,-0.02,0.19,1.03
5.326,-0.01,0.18,1.02
5.336,-0.00,0.17,1.02
5.346,0.00,0.18,1.03
5.356,0.01,0.16,1.02
5.381,0.01,0.17,1.02
5.383,-0.00,0.18,1.04
5.387,-0.00,0.18,1.03
5.396,-0.01,0.19,1.02
5.407,-0.02,0.20,1.05
5.421,-0.01,0.22,1.04
5.426,-0.01,0.22,1.04
5.437,-0.02,0.21,1.04
5.446,-0.01,0.20,1.02
5.456,0.00,0.21,1.03
5.482,0.00,0.21,1.02
5.483,-0.00,0.21,1.04
5.487,-0.00,0.19,1.04
5.496,-0.01,0.17,1.01
5.526,-0.02,0.20,1.04
5.527,-0.02,0.19,1.08
5.527,-0.02,0.20,1.06
5.541,-0.02,0.20,1.04
5.547,-0.02,0.19,1.04
5.556,-0.02,0.20,1.04
5.575,-0.02,0.20,1.05
5.576,-0.01,0.20,1.02
5.588,-0.00,0.20,1.04
5.600,0.00,0.20,1.03
5.606,0.00,0.19,1.04
5.620,0.00,0.20,1.02
5.626,0.00,0.20,1.02
5.637,-0.00,0.20,1.02
5.649,0.00,0.20,1.02
5.656,0.01,0.18,1.03
5.666,-0.00,0.20,1.02
5.687,-0.00,0.20,1.03
5.688,0.00,0.20,1.04
5.710,-0.00,0.19,1.04
5.713,-0.00,0.19,1.03
5.740,-0.01,0.18,1.02
5.740,-0.01,0.18,1.04
5.741,-0.01,0.18,1.04
5.746,-0.01,0.18,1.03
5.756,-0.00,0.19,1.02
5.766,-0.01,0.21,1.05
5.776,-0.00,0.20,1.04
5.786,-0.01,0.21,1.03
5.796,-0.02,0.20,1.05
5.812,-0.03,0.20,1.05
5.819,-0.04,0.20,1.04
5.826,-0.05,0.19,1.03
5.836,-0.03,0.18,1.04
5.846,-0.03,0.18,1.03
5.856,-0.02,0.19,1.02
5.879,-0.02,0.20,1.03
5.879,-0.02,0.21,1.03
5.886,-0.02,0.21,1.03
5.896,-0.02,0.22,1.02
5.907,-0.03,0.22,1.03
5.917,-0.02,0.21,1.04
5.926,-0.03,0.21,1.03
5.937,-0.04,0.20,1.04
5.955,-0.03,0.18,1.02
5.955,-0.03,0.18,1.04
5.970,-0.03,0.18,1.04
5.976,-0.02,0.20,1.04
5.998,-0.01,0.20,1.05
5.998,-0.01,0.21,1.04
6.006,-0.00,0.20,1.03
6.020,-0.01,0.22,1.04
6.038,-0.01,0.20,1.04
6.039,-0.01,0.20,1.03
6.056,-0.02,0.18,1.04
6.057,-0.02,0.19,1.04
6.066,-0.02,0.18,1.04
6.076,-0.03,0.16,1.06
6.101,-0.02,0.16,1.05
6.102,-0.02,0.17,1.05
6.106,-0.04,0.17,1.04
6.120,-0.05,0.19,1.06
6.126,-0.05,0.19,1.05
6.136,-0.06,0.20,1.04
6.148,-0.06,0.19,1.03
6.156,-0.06,0.20,1.05
6.166,-0.05,0.20,1.04
6.176,-0.04,0.20,1.04
6.192,-0.04,0.20,1.02
6.196,-0.03,0.20,1.02
6.215,-0.04,0.20,1.03
6.215,-0.03,0.20,1.02
6.226,-0.03,0.20,1.00
6.237,-0.03,0.20,1.02
6.246,-0.03,0.21,1.00
6.256,-0.04,0.22,1.02
6.274,-0.04,0.22,1.02
6.275,-0.02,0.22,1.00
6.293,-0.03,0.22,1.02
6.297,-0.02,0.21,1.02
6.307,-0.02,0.19,1.03
6.317,-0.02,0.19,1.01
6.326,-0.03,0.19,1.04
6.337,-0.02,0.19,1.02
6.349,-0.02,0.20,1.02
6.356,-0.02,0.20,1.03
6.370,-0.02,0.21,1.03
6.376,-0.03,0.21,1.04
6.386,-0.02,0.21,1.04
6.416,-0.03,0.20,1.04
6.416,-0.04,0.20,1.04
6.417,-0.04,0.19,1.03
6.426,-0.03,0.17,1.03
6.436,-0.03,0.18,1.04
6.446,-0.02,0.19,1.04
6.456,-0.01,0.20,1.04
6.480,-0.00,0.20,1.04
6.481,0.01,0.20,1.03
6.488,0.00,0.19,1.02
6.497,-0.00,0.19,1.03
6.518,-0.02,0.18,1.06
6.518,-0.02,0.17,1.04
6.527,-0.02,0.18,1.04
6.539,-0.02,0.16,1.04
