time,x,y,z
3.707,0.82,-0.02,1.92
3.733,0.72,-0.11,1.87
3.734,0.54,-0.06,1.65
3.750,0.40,0.03,1.35
3.750,0.27,0.18,1.16
3.760,0.21,0.40,0.98
3.769,0.09,0.62,0.86
3.779,-0.15,0.64,0.78
3.787,-0.39,0.42,0.68
3.796,-0.24,0.13,0.52
3.807,0.02,0.18,0.46
3.829,0.26,0.39,0.52
3.830,0.46,1.28,0.69
3.852,0.11,1.66,0.93
3.852,-0.30,1.46,1.09
3.858,-0.47,1.07,1.03
3.870,-0.75,0.64,0.73
3.876,-0.81,0.37,0.60
3.887,-1.17,0.38,0.54
3.896,-1.15,0.72,0.91
3.907,-0.73,0.78,1.59
3.922,-0.51,0.86,1.97
3.926,-0.14,0.72,2.04
3.955,0.23,0.38,2.04
3.956,0.46,0.21,2.04
3.957,0.58,0.16,2.04
3.983,0.81,0.23,1.92
3.983,0.99,0.45,1.31
3.986,0.86,0.58,0.89
3.996,0.53,0.40,0.65
4.007,0.14,-0.10,0.32
4.017,0.00,-0.65,0.47
4.026,0.01,-0.94,0.73
4.068,-0.06,-1.10,1.31
4.069,-0.16,-1.53,1.77
4.070,-0.14,-1.61,1.87
4.070,-0.19,-1.44,1.91
4.077,-0.21,-1.26,1.81
4.095,-0.14,-0.93,1.50
4.098,-0.01,-0.57,1.03
4.107,-0.02,-0.24,0.50
4.118,0.00,-0.00,0.10
4.126,0.11,0.20,0.11
4.144,0.38,0.21,0.68
4.149,0.64,0.16,1.40
4.176,0.89,0.19,1.80
4.177,1.16,0.26,1.99
4.177,1.30,0.36,1.93
4.187,1.40,0.47,1.74
4.198,1.41,0.57,1.59
4.207,1.53,0.79,1.26
4.217,1.38,0.66,0.86
4.226,1.00,0.47,0.40
4.255,0.44,0.23,-0.28
4.256,-0.17,-0.00,-0.80
4.257,-0.52,-0.32,-0.93
4.275,-0.67,-0.63,-0.68
4.276,-0.66,-0.90,-0.02
4.287,-0.44,-0.88,0.80
4.296,0.06,-0.19,1.31
4.307,0.38,0.76,1.63
4.317,0.51,1.53,1.65
4.326,0.32,1.93,1.41
4.337,-0.33,1.34,0.85
4.348,-0.99,0.36,0.16
4.366,-1.60,-0.72,-0.57
4.367,-2.04,-1.60,-0.48
4.376,-1.76,-1.46,0.48
4.400,-0.76,-0.56,1.46
4.401,0.30,0.62,2.04
4.406,1.15,1.36,2.04
4.417,1.48,1.86,2.04
4.426,1.01,1.34,1.50
4.437,0.21,0.64,0.60
4.446,-0.69,0.06,0.14
4.468,-1.32,-0.79,0.60
4.468,-1.04,-1.61,1.28
4.476,-0.39,-1.80,2.04
4.506,0.26,-1.28,2.04
4.506,0.58,-0.46,2.04
4.507,0.71,0.16,1.98
4.521,0.78,0.46,1.26
4.526,0.52,0.52,0.56
4.537,0.44,0.06,0.31
4.548,0.48,-0.49,0.56
4.567,0.49,-0.61,1.02
4.568,0.54,-0.59,1.31
4.577,0.54,-0.58,1.41
4.610,0.50,-0.58,1.18
4.611,0.45,-0.53,0.67
4.611,0.47,-0.36,0.07
4.624,0.53,-0.14,-0.24
4.633,0.62,0.07,-0.21
4.636,0.76,0.36,0.10
4.646,0.88,0.80,0.58
4.670,1.13,1.10,1.13
4.671,1.25,1.33,1.45
4.677,1.26,1.17,1.30
4.692,0.68,0.83,0.78
4.697,0.16,0.05,0.36
4.707,0.20,-0.92,0.48
4.720,0.48,-1.24,0.84
4.726,0.65,-0.96,1.19
4.737,0.84,-0.64,1.58
4.747,1.07,-0.38,1.73
4.776,1.00,-0.05,1.63
4.777,0.70,0.12,1.26
4.777,0.40,0.08,0.51
4.800,0.15,0.10,0.48
4.801,-0.21,0.17,0.71
4.806,-0.20,0.14,0.95
4.817,-0.18,0.18,1.22
4.826,-0.14,0.18,1.37
4.836,-0.21,0.12,1.32
4.846,-0.39,0.13,1.12
4.860,-0.71,0.13,0.93
4.898,-0.92,0.04,0.72
4.899,-0.94,-0.06,0.56
4.899,-0.94,-0.10,0.60
4.900,-0.80,-0.22,0.75
4.906,-0.61,-0.27,0.94
4.920,-0.26,-0.37,1.12
4.927,-0.11,-0.14,1.21
4.937,0.01,0.14,1.36
4.948,0.07,0.13,1.78
4.977,0.30,-0.45,2.04
4.978,0.53,-1.00,2.04
4.978,0.26,-1.08,2.04
5.017,-0.14,-0.98,1.78
5.017,-0.28,-0.96,1.34
5.018,-0.08,-0.88,1.03
5.019,0.13,-0.53,0.84
5.027,0.38,-0.05,0.78
5.037,0.57,0.27,0.88
5.047,0.70,0.46,1.03
5.060,0.71,0.53,1.21
5.070,0.63,0.56,1.44
5.097,0.49,0.39,1.61
5.098,0.36,0.16,1.78
5.099,0.26,-0.10,1.75
5.106,0.31,-0.10,1.48
5.120,0.41,0.07,1.22
5.126,0.46,0.23,1.04
5.136,0.51,0.28,0.94
5.149,0.52,0.41,0.90
5.167,0.54,0.48,1.01
5.168,0.72,0.30,1.29
5.176,0.86,0.13,1.59
5.205,0.86,0.10,1.76
5.206,0.84,0.02,1.62
5.207,0.67,-0.02,1.30
5.220,0.17,0.01,1.02
