Instante(s),Pos_x(m)
5.437,0.613
5.462,0.619
5.507,0.629
5.512,0.63
5.562,0.642
5.577,0.645
5.613,0.653
5.624,0.656
5.647,0.661
5.662,0.665
5.712,0.677
5.717,0.678
5.762,0.689
5.787,0.695
5.812,0.701
5.824,0.703
5.857,0.711
5.863,0.713
5.912,0.725
5.927,0.729
5.962,0.737
5.997,0.746
6.012,0.75
6.024,0.753
6.062,0.762
6.067,0.763
6.113,0.775
6.137,0.781
6.163,0.788
6.207,0.799
6.212,0.8
6.224,0.803
6.262,0.813
6.277,0.817
6.312,0.826
6.347,0.835
6.363,0.84
6.413,0.853
6.417,0.854
6.429,0.857
6.463,0.866
6.487,0.873
6.513,0.88
6.557,0.892
6.563,0.893
6.613,0.907
6.624,0.91
6.627,0.911
6.664,0.921
6.697,0.93
6.715,0.935
6.764,0.949
6.767,0.95
6.852,0.974
6.852,0.974
6.853,0.974
6.864,0.977
6.908,0.99
6.914,0.991
6.964,1.006
6.977,1.01
7.014,1.02
7.024,1.023
7.047,1.03
7.065,1.035
7.117,1.051
7.117,1.051
7.166,1.065
7.187,1.071
7.216,1.08
7.224,1.082
7.257,1.092
7.266,1.095
7.315,1.11
7.327,1.113
7.364,1.125
7.397,1.135
7.414,1.14
7.424,1.143
7.465,1.156
7.467,1.156
7.516,1.172
7.537,1.178
7.566,1.187
7.607,1.2
7.616,1.203
7.624,1.206
7.665,1.219
7.677,1.222
7.715,1.234
7.747,1.245
7.765,1.251
7.817,1.267
7.817,1.267
7.824,1.27
7.866,1.283
7.887,1.29
7.916,1.3
7.957,1.313
7.966,1.316
8.015,1.332
8.024,1.335
8.027,1.336
8.065,1.349
8.097,1.36
8.115,1.366
8.167,1.383
8.167,1.383
8.219,1.401
8.224,1.403
8.237,1.407
8.266,1.417
8.307,1.431
8.315,1.434
8.377,1.455
8.417,1.469
8.424,1.472
8.447,1.48
8.466,1.486
8.519,1.505
8.519,1.505
8.567,1.522
8.587,1.529
8.618,1.54
8.624,1.542
8.657,1.554
8.667,1.558
8.717,1.576
8.727,1.58
8.767,1.594
8.797,1.605
8.817,1.612
8.824,1.615
8.869,1.631
8.869,1.631
8.918,1.649
8.937,1.656
8.969,1.668
9.007,1.683
9.018,1.687
9.024,1.689
9.069,1.706
9.078,1.709
9.119,1.725
9.147,1.735
9.169,1.744
9.218,1.762
9.219,1.763
9.224,1.765
9.269,1.782
9.287,1.789
9.32,1.802
9.357,1.816
9.442,1.849
9.442,1.849
9.442,1.849
9.443,1.849
9.469,1.86
9.498,1.871
9.519,1.879
9.568,1.899
9.568,1.899
9.619,1.919
9.624,1.921
9.637,1.926
9.67,1.939
9.707,1.954
9.721,1.96
9.771,1.98
9.777,1.983
9.82,2.0
