Instante(s),Pos_x(m)
3.838,0.285
3.853,0.287
3.888,0.293
3.92,0.298
3.987,0.308
3.992,0.309
4.048,0.317
4.049,0.317
4.062,0.32
4.133,0.331
4.142,0.332
4.195,0.341
4.202,0.342
4.242,0.349
4.306,0.359
4.307,0.359
4.346,0.366
4.346,0.366
4.397,0.375
4.411,0.377
4.441,0.382
4.448,0.383
4.483,0.389
4.546,0.401
4.552,0.402
4.601,0.41
4.623,0.414
4.643,0.418
4.693,0.427
4.701,0.428
4.754,0.438
4.762,0.44
4.805,0.448
4.832,0.453
4.846,0.455
4.856,0.457
4.904,0.466
4.907,0.467
4.956,0.476
4.973,0.48
5.01,0.487
5.042,0.493
5.043,0.493
5.062,0.497
5.116,0.508
5.116,0.508
5.182,0.521
5.27,0.539
5.27,0.539
5.27,0.539
5.27,0.539
5.314,0.548
5.321,0.549
5.365,0.559
5.393,0.564
5.415,0.569
5.445,0.575
5.464,0.579
5.465,0.58
5.519,0.591
5.533,0.594
5.571,0.602
5.603,0.609
5.621,0.613
5.646,0.619
5.673,0.625
5.673,0.625
5.726,0.637
5.743,0.64
5.775,0.648
5.814,0.656
5.824,0.659
5.845,0.663
5.877,0.671
5.88,0.672
5.932,0.683
5.953,0.688
5.981,0.695
6.024,0.705
6.031,0.707
6.045,0.71
6.086,0.72
6.092,0.721
6.138,0.732
6.163,0.738
6.188,0.744
6.232,0.755
6.238,0.756
6.289,0.769
6.303,0.772
6.342,0.782
6.373,0.789
6.443,0.807
6.444,0.807
6.444,0.807
6.512,0.824
6.545,0.833
6.583,0.842
6.642,0.857
6.644,0.858
6.652,0.86
6.695,0.871
6.723,0.879
6.746,0.885
6.793,0.897
6.838,0.909
6.842,0.91
6.862,0.915
6.896,0.925
6.932,0.934
6.947,0.938
6.997,0.952
7.002,0.953
7.042,0.964
7.126,0.987
7.127,0.988
7.141,0.992
7.148,0.994
7.2,1.008
7.213,1.012
7.243,1.02
7.249,1.022
7.284,1.032
7.298,1.036
7.348,1.05
7.351,1.051
7.403,1.066
7.423,1.072
7.446,1.078
7.454,1.081
7.494,1.092
7.505,1.096
7.557,1.111
7.562,1.112
7.608,1.126
7.632,1.133
7.638,1.135
7.657,1.141
7.702,1.154
7.707,1.156
7.758,1.171
7.772,1.175
7.81,1.187
7.84,1.196
7.84,1.196
7.914,1.219
7.915,1.219
7.98,1.239
8.014,1.25
8.045,1.259
8.052,1.262
8.117,1.282
8.122,1.284
8.17,1.299
8.192,1.306
8.222,1.315
8.239,1.321
8.263,1.329
8.274,1.332
8.325,1.349
8.332,1.351
8.375,1.365
8.403,1.374
8.427,1.382
8.439,1.386
8.471,1.397
8.478,1.399
8.529,1.416
8.541,1.42
8.583,1.434
8.613,1.444
8.632,1.45
8.645,1.455
8.684,1.468
8.685,1.468
8.739,1.487
8.752,1.491
8.789,1.504
8.823,1.515
8.842,1.522
8.888,1.538
8.891,1.539
8.941,1.556
8.963,1.564
8.992,1.574
9.032,1.588
9.038,1.59
9.095,1.611
9.102,1.613
9.147,1.629
9.173,1.638
9.197,1.647
9.239,1.662
9.24,1.662
9.295,1.682
9.312,1.689
9.35,1.702
9.384,1.715
9.4,1.721
9.442,1.736
9.451,1.739
9.503,1.759
9.523,1.766
9.555,1.778
9.59,1.791
9.605,1.797
9.647,1.813
9.656,1.816
9.662,1.818
9.707,1.835
9.733,1.845
9.801,1.871
9.806,1.873
9.845,1.888
9.928,1.92
9.928,1.92
9.942,1.925
9.956,1.931
10.007,1.951
10.012,1.952
10.043,1.965
10.062,1.972
10.083,1.98
10.112,1.992
