Instante(s),Pos_x(m)
3.838,0.288
3.853,0.29
3.888,0.296
3.92,0.301
3.987,0.311
3.992,0.312
4.048,0.321
4.049,0.321
4.062,0.323
4.133,0.334
4.142,0.336
4.195,0.344
4.202,0.345
4.242,0.352
4.306,0.363
4.307,0.363
4.346,0.369
4.346,0.369
4.397,0.378
4.411,0.381
4.441,0.386
4.448,0.387
4.483,0.393
4.546,0.404
4.552,0.405
4.601,0.414
4.623,0.418
4.643,0.422
4.693,0.431
4.701,0.432
4.754,0.442
4.762,0.444
4.805,0.452
4.832,0.457
4.846,0.459
4.856,0.461
4.904,0.47
4.907,0.471
4.956,0.48
4.973,0.484
5.01,0.491
5.042,0.497
5.043,0.497
5.062,0.501
5.116,0.512
5.116,0.512
5.182,0.525
5.27,0.543
5.27,0.543
5.27,0.543
5.27,0.543
5.314,0.552
5.321,0.554
5.365,0.563
5.393,0.569
5.415,0.574
5.445,0.58
5.464,0.584
5.465,0.584
5.519,0.596
5.533,0.599
5.571,0.607
5.603,0.614
5.621,0.618
5.646,0.624
5.673,0.629
5.673,0.629
5.726,0.641
5.743,0.645
5.775,0.652
5.814,0.661
5.824,0.663
5.845,0.668
5.877,0.676
5.88,0.676
5.932,0.688
5.953,0.693
5.981,0.7
6.024,0.71
6.031,0.711
6.045,0.715
6.086,0.724
6.092,0.726
6.138,0.737
6.163,0.743
6.188,0.749
6.232,0.76
6.238,0.761
6.289,0.774
6.303,0.777
6.342,0.787
6.373,0.794
6.443,0.812
6.444,0.812
6.444,0.812
6.512,0.829
6.545,0.838
6.583,0.848
6.642,0.863
6.644,0.863
6.652,0.865
6.695,0.877
6.723,0.884
6.746,0.89
6.793,0.903
6.838,0.915
6.842,0.916
6.862,0.921
6.896,0.93
6.932,0.94
6.947,0.944
6.997,0.958
7.002,0.959
7.042,0.97
7.126,0.993
7.127,0.994
7.141,0.997
7.148,0.999
7.2,1.014
7.213,1.018
7.243,1.026
7.249,1.028
7.284,1.038
7.298,1.042
7.348,1.056
7.351,1.057
7.403,1.072
7.423,1.078
7.446,1.084
7.454,1.087
7.494,1.098
7.505,1.102
7.557,1.117
7.562,1.118
7.608,1.132
7.632,1.139
7.638,1.141
7.657,1.147
7.702,1.16
7.707,1.162
7.758,1.177
7.772,1.181
7.81,1.193
7.84,1.202
7.84,1.202
7.914,1.225
7.915,1.225
7.98,1.246
8.014,1.256
8.045,1.266
8.052,1.268
8.117,1.289
8.122,1.29
8.17,1.306
8.192,1.313
8.222,1.322
8.239,1.328
8.263,1.335
8.274,1.339
8.325,1.356
8.332,1.358
8.375,1.372
8.403,1.381
8.427,1.389
8.439,1.393
8.471,1.404
8.478,1.406
8.529,1.423
8.541,1.427
8.583,1.441
8.613,1.451
8.632,1.457
8.645,1.462
8.684,1.475
8.685,1.475
8.739,1.494
8.752,1.498
8.789,1.511
8.823,1.523
8.842,1.529
8.888,1.545
8.891,1.546
8.941,1.564
8.963,1.571
8.992,1.581
9.032,1.596
9.038,1.598
9.095,1.618
9.102,1.62
9.147,1.636
9.173,1.646
9.197,1.654
9.239,1.67
9.24,1.67
9.295,1.69
9.312,1.696
9.35,1.71
9.384,1.722
9.4,1.728
9.442,1.744
9.451,1.747
9.503,1.766
9.523,1.774
9.555,1.786
9.59,1.799
9.605,1.804
9.647,1.82
9.656,1.824
9.662,1.826
9.707,1.843
9.733,1.853
9.801,1.879
9.806,1.881
9.845,1.896
9.928,1.928
9.928,1.928
9.942,1.933
9.956,1.939
10.007,1.959
10.012,1.961
10.043,1.973
10.062,1.98
10.083,1.989
10.112,2.0
