time,x,y,z
3.084,0.01,-0.04,1.04
3.113,0.01,-0.04,1.03
3.114,0.00,-0.03,1.03
3.115,0.00,-0.03,1.03
3.124,0.01,-0.03,1.04
3.134,0.02,-0.04,1.03
3.144,0.01,-0.04,1.05
3.153,0.01,-0.04,1.04
3.164,0.01,-0.04,1.02
3.174,0.01,-0.04,1.04
3.184,0.00,-0.04,1.02
3.206,-0.00,-0.04,1.05
3.206,0.02,-0.03,1.04
3.239,0.01,-0.02,1.04
3.240,-0.00,-0.02,1.04
3.241,0.01,-0.02,1.03
3.249,0.01,-0.03,1.03
3.253,-0.00,-0.04,1.02
3.264,0.00,-0.04,1.04
3.274,0.01,-0.04,1.02
3.283,0.01,-0.04,1.02
3.314,0.01,-0.05,1.02
3.316,0.01,-0.05,1.03
3.316,-0.00,-0.04,1.04
3.324,0.00,-0.04,1.04
3.333,-0.00,-0.04,1.04
3.344,-0.00,-0.03,1.04
3.353,-0.00,-0.04,1.05
3.364,-0.00,-0.03,1.06
3.373,-0.00,-0.04,1.05
3.384,0.00,-0.04,1.04
3.409,-0.00,-0.05,1.04
3.410,0.00,-0.04,1.04
3.418,0.00,-0.04,1.04
3.424,0.00,-0.03,1.02
3.439,0.00,-0.04,1.03
3.446,0.01,-0.02,1.03
3.453,0.01,-0.02,1.05
3.466,0.01,-0.03,1.04
3.474,0.01,-0.04,1.04
3.484,0.01,-0.04,1.03
3.504,0.01,-0.04,1.04
3.505,0.01,-0.04,1.03
3.526,0.02,-0.04,1.02
3.527,0.01,-0.04,1.03
3.533,0.02,-0.05,1.03
3.544,0.01,-0.06,1.05
3.553,0.01,-0.04,1.04
3.564,0.01,-0.04,1.05
3.574,0.01,-0.03,1.04
3.584,0.00,-0.03,1.02
3.605,-0.01,-0.02,1.03
3.606,-0.00,-0.03,1.03
3.628,0.00,-0.02,1.02
3.629,0.00,-0.02,1.03
3.633,0.00,-0.03,1.02
3.643,0.01,-0.03,1.02
3.653,0.00,-0.03,1.02
3.663,0.00,-0.04,1.04
3.675,0.01,-0.04,1.02
3.683,0.00,-0.04,1.01
3.703,0.01,-0.02,1.01
3.704,0.01,-0.02,1.02
3.730,0.00,-0.03,1.02
3.730,0.01,-0.03,1.00
3.734,0.02,-0.02,1.01
3.747,0.01,-0.04,1.02
3.753,0.00,-0.04,1.03
3.764,0.01,-0.05,1.03
3.773,0.00,-0.04,1.03
3.783,0.01,-0.04,1.02
3.808,0.00,-0.04,1.02
3.809,0.00,-0.03,1.02
3.813,0.01,-0.03,1.00
3.823,0.01,-0.03,1.04
3.834,0.01,-0.03,1.04
3.848,0.03,-0.04,1.04
3.853,0.02,-0.02,1.03
3.864,0.02,-0.04,1.04
3.874,0.02,-0.03,1.04
3.883,0.01,-0.02,1.05
3.912,0.02,-0.06,1.05
3.913,0.00,-0.04,1.06
3.914,-0.00,-0.01,1.07
3.925,-0.00,-0.04,1.04
3.934,0.02,-0.02,1.06
3.944,0.00,-0.00,1.07
3.954,0.02,-0.01,1.04
3.964,0.02,-0.00,1.04
3.973,0.01,-0.02,1.04
3.983,0.01,-0.01,1.03
4.012,0.01,-0.01,1.02
4.013,0.02,-0.02,1.03
4.013,0.01,-0.02,1.02
4.023,0.02,-0.03,1.00
4.034,0.01,-0.02,1.01
4.044,0.01,-0.02,1.02
4.053,0.00,-0.02,1.01
4.064,-0.00,-0.01,1.00
4.074,0.01,0.01,1.02
4.083,0.01,-0.00,1.02
4.104,0.01,-0.01,1.00
4.104,0.01,-0.01,1.00
4.130,0.01,-0.01,1.00
4.131,0.00,-0.01,1.03
4.133,0.01,-0.02,1.03
4.145,0.02,-0.02,1.02
4.153,0.01,-0.02,1.02
4.164,0.03,-0.02,1.02
4.174,0.02,-0.00,1.00
4.184,0.02,-0.01,1.01
4.205,0.02,-0.00,1.00
4.206,0.02,-0.01,1.02
4.228,0.03,-0.01,1.02
4.229,0.03,-0.03,1.01
4.233,0.03,-0.03,1.00
4.243,0.03,-0.02,0.99
4.253,0.02,-0.01,0.99
4.263,0.03,-0.01,0.98
4.274,0.02,-0.00,0.99
4.283,0.02,-0.01,1.01
4.304,0.02,-0.00,1.04
4.326,0.02,-0.01,1.04
4.326,0.03,-0.01,1.03
4.333,0.02,-0.00,1.04
4.345,0.02,-0.01,1.04
4.353,0.01,-0.01,1.03
4.364,0.02,-0.01,1.01
4.373,0.02,-0.02,1.01
4.383,0.02,-0.02,1.00
4.418,0.04,-0.02,1.03
4.419,0.07,-0.00,1.05
4.420,0.08,0.01,1.07
4.424,0.08,0.00,1.09
4.433,0.08,0.00,1.10
4.448,0.07,0.01,1.09
4.453,0.06,-0.00,1.10
4.463,0.06,-0.01,1.08
4.479,0.05,-0.00,1.09
4.488,0.02,0.01,1.06
4.498,0.02,-0.00,1.05
4.503,0.01,0.00,1.05
4.534,0.02,0.00,1.03
4.534,0.01,-0.00,1.02
4.535,0.01,-0.02,1.01
4.543,-0.00,-0.02,1.00
4.553,-0.01,-0.02,0.99
4.564,-0.02,-0.02,1.01
4.573,-0.02,-0.00,1.03
4.583,-0.01,0.02,1.00
4.610,-0.02,0.01,0.97
4.610,-0.03,-0.00,0.99
4.614,-0.05,-0.00,0.99
4.623,-0.05,0.00,0.98
4.633,-0.06,-0.00,1.02
4.644,-0.06,0.01,1.04
4.653,-0.06,-0.00,1.04
4.664,-0.07,-0.03,1.04
4.675,-0.06,-0.01,1.08
4.684,-0.06,-0.00,1.05
4.714,-0.05,0.02,1.04
4.715,-0.06,0.03,1.00
4.715,-0.06,0.01,0.97
4.723,-0.06,0.01,0.96
4.733,-0.05,0.03,0.94
4.744,-0.05,0.04,0.96
4.753,-0.04,0.06,0.98
4.763,-0.04,0.07,1.00
4.773,-0.04,0.08,1.03
4.783,-0.03,0.07,1.03
4.804,-0.03,0.07,1.02
4.805,-0.04,0.06,1.03
4.828,-0.03,0.08,1.02
4.829,-0.02,0.06,1.00
4.833,-0.02,0.08,0.98
4.844,0.01,0.08,0.98
4.853,0.01,0.09,1.00
4.864,0.01,0.09,1.03
4.874,-0.04,0.05,1.07
4.884,0.00,0.10,0.98
4.913,0.00,0.11,0.99
4.914,-0.04,0.06,0.99
4.915,-0.01,0.04,1.00
4.930,0.00,0.10,0.94
4.933,0.02,0.13,1.01
4.944,0.02,0.14,1.00
4.954,-0.00,0.15,1.09
4.967,0.02,0.13,1.16
4.974,0.05,0.13,1.16
4.984,0.05,0.11,1.20
5.004,0.04,0.09,1.18
5.004,0.02,0.08,1.19
5.028,0.01,0.11,1.20
5.029,-0.02,0.12,1.18
5.034,-0.05,0.12,1.17
5.047,-0.20,0.12,1.19
5.053,-0.04,0.09,1.15
5.064,-0.02,0.13,1.19
5.074,-0.02,0.11,1.24
5.084,-0.02,0.08,1.23
5.105,-0.03,0.07,1.26
5.106,-0.01,0.09,1.28
5.129,-0.03,0.08,1.28
5.130,-0.02,0.06,1.29
5.133,0.02,0.06,1.26
5.144,0.07,0.02,1.25
5.153,0.08,-0.05,1.25
5.164,0.04,-0.10,1.28
5.174,-0.01,-0.13,1.34
5.183,-0.00,-0.13,1.30
5.221,0.01,-0.15,1.25
5.222,0.02,-0.21,1.16
5.225,0.02,-0.26,1.10
5.226,0.06,-0.28,1.03
5.233,0.21,-0.21,0.87
5.243,0.12,-0.20,0.91
5.253,0.07,-0.21,0.88
5.264,0.12,-0.21,0.89
5.273,0.16,-0.18,0.94
5.283,0.16,-0.17,0.90
5.307,0.14,-0.16,0.88
5.308,0.11,-0.12,0.92
5.320,0.08,-0.09,1.00
5.323,0.04,-0.11,1.05
5.334,-0.02,-0.12,1.08
5.346,0.01,-0.11,1.04
5.353,0.02,-0.10,1.02
5.363,0.03,-0.12,0.99
5.373,0.07,-0.13,0.88
5.383,0.07,-0.10,0.82
5.412,0.07,-0.11,0.82
5.413,0.10,-0.13,0.76
5.413,0.15,-0.14,0.70
5.438,0.16,-0.14,0.67
5.438,0.16,-0.11,0.67
5.448,0.15,-0.07,0.70
5.453,0.13,0.00,0.74
5.464,0.11,0.05,0.76
5.477,0.10,0.07,0.78
5.489,0.05,0.07,0.80
5.496,0.06,0.09,0.82
5.503,0.05,0.08,0.85
5.519,0.04,0.12,0.92
5.528,0.05,0.14,0.92
5.543,0.06,0.15,0.91
5.544,0.04,0.17,0.94
5.553,0.06,0.17,0.93
5.564,0.07,0.15,0.99
5.574,0.07,0.14,1.03
5.583,0.08,0.14,1.04
5.614,0.09,0.10,1.09
5.614,0.10,0.07,1.13
5.615,0.10,0.04,1.19
5.623,0.09,0.03,1.25
5.633,0.10,0.03,1.30
5.643,0.02,-0.02,1.39
5.653,0.08,0.01,1.51
5.663,0.08,0.08,1.35
5.677,0.02,0.05,1.32
5.683,-0.00,0.01,1.30
5.694,-0.04,-0.02,1.28
5.703,-0.06,-0.07,1.28
5.731,-0.08,-0.12,1.27
5.731,-0.10,-0.17,1.33
5.733,-0.08,-0.21,1.36
5.745,-0.09,-0.24,1.37
5.753,-0.08,-0.26,1.33
5.765,-0.07,-0.24,1.28
5.773,-0.07,-0.14,1.24
5.783,-0.07,-0.10,1.20
5.804,-0.04,-0.09,1.10
5.805,-0.01,-0.06,1.00
5.826,-0.00,-0.02,0.94
5.826,-0.02,0.01,0.92
