time,x,y,z
3.790,-0.02,0.24,1.01
3.801,-0.02,0.24,1.03
3.829,-0.02,0.21,1.04
3.830,-0.02,0.20,1.04
3.831,-0.02,0.21,1.03
3.840,-0.01,0.24,1.00
3.851,0.01,0.24,1.00
3.862,0.01,0.25,0.99
3.870,0.02,0.27,0.98
3.880,-0.00,0.28,1.00
3.890,-0.00,0.29,0.99
3.925,0.00,0.27,0.97
3.926,0.00,0.27,0.98
3.926,0.02,0.26,1.00
3.935,0.06,0.24,1.01
3.940,0.10,0.23,1.00
3.951,0.10,0.22,1.00
3.966,0.18,0.16,0.90
3.970,0.10,0.20,0.91
3.980,0.02,0.23,1.01
3.990,-0.04,0.26,1.06
4.006,-0.08,0.27,1.10
4.019,-0.08,0.26,1.11
4.019,-0.06,0.28,1.12
4.036,-0.03,0.30,1.13
4.040,-0.03,0.29,1.14
4.050,-0.01,0.27,1.09
4.062,-0.00,0.26,1.08
4.083,-0.01,0.23,1.05
4.084,-0.01,0.22,1.05
4.093,-0.01,0.24,1.06
4.100,-0.01,0.24,1.08
4.122,-0.00,0.26,1.07
4.123,-0.01,0.27,1.06
4.137,-0.01,0.26,1.07
4.141,-0.01,0.26,1.07
4.161,-0.02,0.26,1.03
4.161,-0.02,0.26,1.04
4.170,-0.01,0.26,1.02
4.180,-0.01,0.25,1.03
4.190,0.01,0.24,1.06
4.210,0.02,0.22,1.08
4.210,0.04,0.22,1.05
4.220,0.02,0.20,1.04
4.230,0.02,0.21,1.02
4.240,0.03,0.21,1.00
4.251,0.03,0.23,1.02
4.263,0.05,0.24,1.02
4.270,0.04,0.25,0.99
4.297,0.02,0.26,0.99
4.297,0.02,0.27,0.98
4.306,0.02,0.27,0.97
4.317,0.02,0.28,1.00
4.320,0.01,0.27,1.01
4.341,0.01,0.25,0.99
4.342,0.01,0.24,0.99
4.350,0.01,0.25,0.99
4.360,0.04,0.25,0.97
4.370,0.02,0.26,0.96
4.383,0.03,0.25,0.96
4.390,0.02,0.24,0.94
4.400,-0.01,0.25,0.97
4.426,-0.04,0.26,1.02
4.426,-0.06,0.25,1.02
4.430,-0.08,0.24,1.01
4.440,-0.02,0.25,1.06
4.450,0.05,0.24,1.10
4.464,0.08,0.23,1.10
4.470,0.08,0.25,1.05
4.480,0.04,0.26,1.01
4.490,-0.00,0.25,1.01
4.513,-0.04,0.25,1.00
4.514,-0.07,0.27,1.02
4.520,-0.04,0.29,1.02
4.531,-0.05,0.28,1.02
4.540,-0.04,0.28,1.03
4.550,-0.04,0.28,1.04
4.563,-0.03,0.26,1.02
4.570,-0.03,0.25,1.04
4.581,-0.01,0.25,1.04
4.591,-0.00,0.24,1.05
4.601,0.02,0.22,1.06
4.629,0.02,0.22,1.05
4.630,-0.00,0.22,1.04
4.631,-0.00,0.21,1.04
4.640,-0.02,0.22,1.04
4.650,-0.02,0.22,1.06
4.664,-0.02,0.22,1.05
4.670,-0.01,0.22,1.04
4.680,-0.02,0.22,1.02
4.690,-0.00,0.21,1.01
4.715,0.01,0.20,1.02
4.716,0.01,0.22,1.00
4.721,0.01,0.16,1.02
4.731,-0.02,0.18,1.00
4.740,-0.03,0.25,1.00
4.751,-0.02,0.26,0.98
4.767,-0.02,0.27,1.02
4.770,-0.04,0.26,1.01
4.781,-0.03,0.26,1.01
4.790,-0.04,0.24,1.02
4.800,-0.03,0.23,1.07
4.828,-0.01,0.20,1.04
4.829,-0.01,0.21,1.02
4.829,-0.02,0.23,1.03
4.840,-0.02,0.24,1.02
4.851,-0.01,0.24,1.01
4.862,-0.02,0.26,1.00
4.870,-0.02,0.28,1.00
4.881,-0.03,0.27,1.02
4.890,-0.02,0.26,1.02
4.921,-0.04,0.24,1.03
4.922,-0.05,0.22,1.05
4.922,-0.05,0.21,1.06
4.964,-0.04,0.19,1.08
4.964,-0.02,0.17,1.08
4.965,-0.01,0.17,1.08
4.965,0.00,0.17,1.07
4.970,0.02,0.17,1.07
4.980,0.01,0.21,1.04
4.990,0.02,0.21,1.05
5.000,0.00,0.22,1.05
5.011,-0.02,0.22,1.05
5.037,-0.03,0.22,1.05
5.038,-0.02,0.20,1.05
5.038,-0.02,0.22,1.04
5.051,-0.00,0.20,1.04
5.066,0.01,0.22,1.04
5.084,-0.00,0.23,1.04
5.085,0.00,0.23,1.03
5.092,-0.00,0.22,1.04
5.100,-0.01,0.23,1.03
5.134,-0.00,0.24,1.02
5.135,-0.00,0.24,1.02
5.135,-0.00,0.26,1.02
5.140,-0.01,0.25,1.03
5.157,-0.02,0.25,1.01
5.170,-0.01,0.25,1.01
5.170,0.01,0.24,1.00
5.180,-0.00,0.22,1.03
5.190,0.02,0.23,1.02
5.200,0.00,0.22,1.02
5.231,-0.00,0.22,1.02
5.232,-0.00,0.22,1.03
5.232,-0.00,0.21,1.02
5.240,-0.00,0.22,1.04
5.251,-0.00,0.23,1.02
5.268,-0.01,0.24,1.02
5.287,-0.02,0.24,1.03
5.288,-0.00,0.23,1.03
5.302,-0.01,0.22,1.02
5.302,-0.00,0.21,1.03
5.310,-0.00,0.21,1.04
5.320,-0.01,0.21,1.04
5.343,-0.01,0.22,1.02
5.344,-0.00,0.22,1.02
5.350,-0.01,0.22,1.02
5.364,-0.00,0.23,1.01
5.370,-0.01,0.24,1.02
5.380,-0.01,0.24,1.01
5.390,-0.02,0.25,1.01
5.400,-0.01,0.26,1.02
5.426,-0.00,0.25,1.02
5.426,0.00,0.25,1.01
5.430,-0.00,0.24,1.02
5.440,-0.00,0.23,1.03
5.450,-0.02,0.22,1.03
5.470,-0.00,0.23,1.02
5.480,0.01,0.23,1.02
5.490,0.00,0.24,1.02
5.500,-0.00,0.25,1.01
5.530,-0.02,0.24,0.99
5.530,-0.03,0.25,1.01
5.531,-0.04,0.26,1.01
5.540,-0.02,0.26,1.00
5.551,-0.01,0.24,1.03
5.566,-0.01,0.24,1.02
5.570,-0.01,0.24,1.03
5.581,-0.02,0.24,1.03
5.590,-0.02,0.24,1.02
5.601,-0.00,0.23,1.02
5.617,-0.00,0.24,1.02
5.621,-0.00,0.26,1.02
5.645,-0.02,0.26,1.02
5.645,-0.02,0.28,1.01
5.652,-0.00,0.27,1.02
5.666,-0.01,0.27,1.00
5.670,-0.01,0.26,1.00
5.680,-0.02,0.26,1.00
5.690,-0.01,0.26,1.01
5.700,-0.00,0.25,1.00
5.716,0.00,0.24,0.99
5.744,-0.02,0.26,0.99
5.745,-0.02,0.25,0.99
5.752,-0.03,0.26,0.99
5.767,-0.03,0.29,0.99
5.771,-0.05,0.29,1.00
5.781,-0.02,0.30,1.01
5.790,-0.00,0.30,1.00
5.801,0.03,0.23,0.90
5.832,0.03,0.31,0.96
5.832,0.08,0.36,1.03
5.833,0.11,0.34,1.00
5.840,0.08,0.32,0.99
5.850,0.05,0.30,0.99
5.862,0.03,0.28,1.02
5.870,0.06,0.26,1.03
5.880,0.08,0.29,1.03
5.890,0.12,0.30,1.01
5.901,0.14,0.33,0.98
5.916,0.16,0.33,0.98
5.931,0.16,0.32,0.98
5.931,0.18,0.32,0.97
5.959,0.15,0.34,0.95
5.959,0.12,0.33,0.97
5.960,0.08,0.30,1.00
5.970,0.06,0.29,1.02
5.981,0.06,0.27,1.01
5.990,0.08,0.28,1.02
6.000,0.08,0.30,1.00
6.014,0.08,0.32,0.96
6.020,0.09,0.33,0.95
6.032,0.10,0.35,0.92
6.046,0.10,0.38,0.92
6.050,0.10,0.39,0.90
6.074,0.10,0.38,0.92
6.075,0.08,0.37,0.92
6.090,0.08,0.35,0.92
6.092,0.08,0.34,0.92
6.121,0.11,0.34,0.90
6.122,0.12,0.35,0.91
6.122,0.14,0.36,0.90
6.147,0.16,0.37,0.90
6.148,0.16,0.42,0.92
6.149,0.16,0.45,0.91
6.175,0.16,0.46,0.89
6.175,0.15,0.48,0.89
6.185,0.12,0.48,0.91
6.190,0.08,0.47,0.94
6.200,0.07,0.47,0.95
6.221,0.07,0.46,0.98
6.222,0.08,0.46,1.01
6.230,0.10,0.46,1.03
6.240,0.12,0.43,1.04
6.262,0.09,0.43,1.05
6.263,0.06,0.44,1.04
6.270,0.05,0.44,1.06
6.280,0.04,0.44,1.06
6.290,0.02,0.44,1.08
6.302,-0.00,0.41,1.10
6.337,-0.02,0.39,1.12
6.338,-0.02,0.36,1.14
6.339,-0.01,0.34,1.15
6.339,-0.00,0.32,1.17
6.350,-0.01,0.32,1.17
6.366,-0.02,0.30,1.16
6.370,-0.03,0.31,1.13
6.381,-0.04,0.34,1.10
6.390,-0.04,0.39,1.10
6.412,-0.02,0.44,1.10
6.413,-0.01,0.49,1.08
6.420,0.01,0.51,1.07
6.435,0.02,0.50,1.06
6.440,0.04,0.48,1.06
6.450,0.06,0.47,1.05
6.476,0.10,0.45,1.08
6.476,0.11,0.43,1.12
6.483,0.09,0.39,1.16
6.490,0.04,0.35,1.17
6.500,-0.01,0.26,1.22
6.516,-0.12,0.19,1.22
6.520,-0.17,0.16,1.20
6.531,-0.20,0.16,1.15
6.540,-0.16,0.17,1.08
6.561,-0.10,0.20,1.02
6.562,-0.04,0.26,0.96
6.570,-0.00,0.33,0.91
6.581,0.02,0.37,0.86
6.590,0.02,0.40,0.82
6.601,-0.02,0.41,0.80
6.615,-0.08,0.40,0.78
6.631,-0.16,0.36,0.79
6.631,-0.22,0.34,0.80
6.640,-0.22,0.35,0.78
6.651,-0.18,0.34,0.78
6.680,-0.10,0.34,0.78
6.681,-0.04,0.35,0.80
6.681,0.03,0.34,0.81
6.690,0.06,0.30,0.84
6.700,0.09,0.27,0.88
6.717,0.12,0.23,0.97
6.720,0.13,0.17,1.04
6.730,0.07,0.12,1.06
6.740,0.00,0.09,1.10
6.764,-0.01,0.11,1.09
6.764,0.02,0.14,1.05
6.770,0.10,0.22,1.00
6.780,0.14,0.30,0.92
6.790,0.18,0.37,0.84
6.800,0.21,0.46,0.80
6.816,0.20,0.54,0.76
6.821,0.16,0.58,0.76
6.831,0.06,0.62,0.87
6.840,-0.04,0.60,0.97
6.855,-0.13,0.57,1.03
6.880,-0.16,0.54,1.09
6.880,-0.16,0.52,1.15
6.885,-0.12,0.51,1.20
6.890,-0.07,0.51,1.21
6.901,0.00,0.50,1.18
6.917,0.06,0.50,1.15
6.930,0.08,0.50,1.13
6.931,0.13,0.49,1.15
6.949,0.13,0.52,1.15
6.949,0.08,0.52,1.16
6.962,0.05,0.52,1.16
6.970,0.01,0.51,1.16
6.994,-0.17,0.49,1.14
6.995,-0.14,0.57,1.18
6.999,-0.02,0.53,1.10
7.012,0.11,0.53,1.02
7.020,0.14,0.48,0.99
7.032,0.14,0.43,1.01
7.042,0.10,0.36,1.06
7.053,0.07,0.30,1.07
7.062,-0.00,0.27,1.06
7.071,-0.07,0.28,1.00
7.115,-0.08,0.27,1.03
7.115,-0.09,0.24,1.07
7.116,-0.09,0.20,1.08
7.116,-0.10,0.18,1.08
7.121,-0.05,0.15,1.05
7.144,0.02,0.13,1.04
7.145,0.10,0.08,1.04
7.172,0.17,0.04,1.04
7.173,0.18,0.01,0.98
7.173,0.13,-0.00,0.91
7.180,0.08,0.01,0.84
7.190,0.03,0.06,0.79
7.200,0.04,0.14,0.78
7.212,0.08,0.22,0.72
7.220,0.10,0.30,0.64
7.230,0.14,0.36,0.59
7.240,0.18,0.41,0.54
7.264,0.20,0.45,0.54
